Timestamp, CPU(%), MEM(%)
2025-06-10 20:36:13, 119.60, 94.40
2025-06-10 20:36:14, 135.40, 94.70
2025-06-10 20:36:15, 223.90, 94.50
2025-06-10 20:36:16, 126.50, 94.50
2025-06-10 20:36:17, 115.20, 94.50
2025-06-10 20:36:18, 110.40, 94.50
2025-06-10 20:36:19, 132.40, 94.50
2025-06-10 20:36:20, 122.70, 94.50
2025-06-10 20:36:21, 124.60, 94.50
2025-06-10 20:36:22, 136.20, 94.50
2025-06-10 20:36:23, 164.50, 94.50
2025-06-10 20:36:25, 138.80, 94.40
2025-06-10 20:36:26, 126.40, 94.30
2025-06-10 20:36:27, 195.90, 94.60
2025-06-10 20:36:28, 119.50, 94.40
2025-06-10 20:36:29, 129.30, 94.40
2025-06-10 20:36:30, 165.60, 94.40
