frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:00.005784000 CST","192.168.1.8","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:00.138403000 CST","192.168.1.3","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:00.182677000 CST","192.168.1.4","192.168.1.255","17",,,"698","698",,,,"84",,"1",,,,
"Dec 31, 1969 18:00:02.118448000 CST","192.168.1.4","192.168.1.255","17",,,"698","698",,,,"100",,"1",,,,
"Dec 31, 1969 18:00:02.120763000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:02.120797000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:02.120970000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.121474000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.121490000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.122029000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.122045000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.122692000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.122708000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.123284000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.123300000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.123839000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.123855000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.124430000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.124446000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.125058000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.125074000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.125730000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.125746000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.126393000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.126409000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.127066000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.127082000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.127540000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.127556000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.127969000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.127985000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.128372000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.128388000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.128882000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.128898000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.129284000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.129300000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.129813000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.129829000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.130278000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.130294000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.130761000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.130777000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.131236000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.131252000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.131683000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.131699000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.132103000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.132119000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.132539000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.132555000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.132956000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.132972000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.133283000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.133299000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.133692000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.133708000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134028000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134044000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134400000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134416000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.134755000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.134771000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.135109000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.135125000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.135508000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.135524000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.135782000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.135798000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.136055000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.136071000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.136436000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.136452000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.136737000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.136753000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137055000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137071000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137319000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137335000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137593000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137609000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.137938000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.137954000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.138265000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.138281000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.138584000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.138600000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.138848000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.138864000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139135000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139151000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139360000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139376000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139638000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139654000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.139853000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.139869000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140195000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140211000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140428000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140444000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140652000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140668000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.140913000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.140929000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.141119000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.141135000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.141398000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.141414000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.141973000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.141989000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142197000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142213000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142386000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142402000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142691000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142707000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.142861000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.142877000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.143068000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.143084000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.143373000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.143389000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.143729000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.143745000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.144139000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.144155000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.144548000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.144564000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.145320000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145336000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.145526000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145542000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.145832000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.145848000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.146187000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.146203000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.146596000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.146612000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.147006000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.147022000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.147415000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.147431000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.148842000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.148858000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149111000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149127000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149354000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149370000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149605000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149621000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.149838000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.149854000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.150162000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.150178000 CST",,,,,,,,,,,"14",,,,,,
