frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:00.002050000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.003508000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.003518000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.004132000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.013342000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.014436000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.022782000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.022832000 CST",,,,,,,,,,,"64",,,,,,
"Dec 31, 1969 18:00:00.023284000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.024578000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.024588000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.100050000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.101247000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.102281000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.102291000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.200050000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.201247000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.202281000 CST","192.168.1.1","192.168.1.4","17",,,"9","49153",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.202291000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:00.300050000 CST","192.168.1.4","192.168.1.1","17",,,"49153","9",,,,"1088",,"64",,,,
"Dec 31, 1969 18:00:00.301247000 CST",,,,,,,,,,,"14",,,,,,
